overall_rank,preproc_id,model_name,param_combo,best_val_acc,top_k_accuracy,best_epoch,convergence_speed,preprocessing_type,model_rank,preproc_rank,accuracy_improvement,class_diversity,class_freq_json,loss,accuracy,auc,precision,recall,val_loss,val_accuracy,val_auc,val_precision,val_recall,val_top_k_accuracy,threshold,value,method,size,iterations,sigma
16.0,dilate,densenet,kernel_size-(15_15)_iterations-3,0.2463768124580383,0.4117647058823529,9,9,single,7.0,10.0,0.02865223904514011,8,"{0: 10, 1: 16, 2: 25, 3: 21, 4: 12, 5: 56, 6: 31, 7: 33}",2.3857972621917725,0.1262135952711105,0.5063877701759338,0.0833333358168602,0.0048543689772486,2.0590288639068604,0.147058829665184,0.587740957736969,0.0,0.0,0.75,,,,(15,3.0,
20.0,dilate,densenet,kernel_size-(15_15)_iterations-5,0.2173912972211837,0.45588235294117646,8,8,single,11.0,14.0,-0.00033327619171449885,8,"{0: 61, 1: 40, 2: 36, 3: 22, 4: 4, 5: 5, 6: 5, 7: 31}",2.468549966812134,0.1116504818201065,0.5041642189025879,0.1052631586790084,0.0097087379544973,2.0669054985046387,0.1176470592617988,0.5574795603752136,0.0,0.0,0.6470588445663452,,,,(15,5.0,
17.0,dilate,densenet,kernel_size-(15_15)_iterations-7,0.2352941185235977,0.39705882352941174,7,7,single,8.0,11.0,0.017569545110699497,8,"{0: 43, 1: 18, 2: 1, 3: 46, 4: 19, 5: 15, 6: 39, 7: 23}",2.4083139896392822,0.1310679614543914,0.5381279587745667,0.1923076957464218,0.0242718439549207,2.1169512271881104,0.1176470592617988,0.4911950528621673,0.0,0.0,0.6470588445663452,,,,(15,7.0,
22.0,dilate,densenet,kernel_size-(3_3)_iterations-1,0.2028985470533371,0.5441176470588235,13,13,single,13.0,16.0,-0.014826026359561095,8,"{0: 21, 1: 39, 2: 13, 3: 22, 4: 23, 5: 33, 6: 27, 7: 26}",2.275259733200073,0.1553398072719574,0.5218934416770935,0.5,0.0097087379544973,2.0603911876678467,0.147058829665184,0.5766960978507996,0.0,0.0,0.7647058963775635,,,,(3,1.0,
14.0,dilate,densenet,kernel_size-(3_3)_iterations-2,0.260869562625885,0.4852941176470588,6,6,single,5.0,8.0,0.04314498921298682,8,"{0: 27, 1: 17, 2: 33, 3: 16, 4: 37, 5: 41, 6: 27, 7: 6}",2.602515459060669,0.1601941734552383,0.5232602953910828,0.0930232554674148,0.0194174759089946,2.081329584121704,0.1029411777853965,0.5563364624977112,0.0,0.0,0.7058823704719543,,,,(3,2.0,
20.0,dilate,densenet,kernel_size-(3_3)_iterations-3,0.2173912972211837,0.4264705882352941,11,11,single,11.0,14.0,-0.00033327619171449885,8,"{0: 19, 1: 30, 2: 25, 3: 25, 4: 33, 5: 17, 6: 45, 7: 10}",2.293643951416016,0.116504855453968,0.5418108701705933,0.0833333358168602,0.0048543689772486,2.054531574249268,0.147058829665184,0.5759546756744385,0.0,0.0,0.720588207244873,,,,(3,3.0,
23.0,dilate,densenet,kernel_size-(3_3)_iterations-7,0.1911764740943908,0.38235294117647056,14,14,single,14.0,17.0,-0.02654809931850738,8,"{0: 38, 1: 18, 2: 13, 3: 26, 4: 29, 5: 18, 6: 32, 7: 30}",2.299643993377685,0.1067961156368255,0.503573477268219,0.4000000059604645,0.0097087379544973,2.071808338165283,0.1911764740943908,0.5340923070907593,0.0,0.0,0.6176470518112183,,,,(3,7.0,
17.0,dilate,densenet,kernel_size-(5_5)_iterations-1,0.2352941185235977,0.4411764705882353,5,5,single,8.0,11.0,0.017569545110699497,8,"{0: 23, 1: 49, 2: 45, 3: 9, 4: 16, 5: 15, 6: 33, 7: 14}",2.6646652221679688,0.1116504818201065,0.4877647757530212,0.125,0.0242718439549207,2.153932571411133,0.1617647111415863,0.5076773166656494,0.0,0.0,0.6323529481887817,,,,(5,1.0,
17.0,dilate,densenet,kernel_size-(5_5)_iterations-2,0.2352941185235977,0.4411764705882353,8,8,single,8.0,11.0,0.017569545110699497,8,"{0: 41, 1: 32, 2: 13, 3: 11, 4: 27, 5: 21, 6: 22, 7: 37}",2.2983815670013428,0.1747572869062423,0.5639365911483765,0.1304347813129425,0.014563106931746,2.090575695037842,0.1176470592617988,0.5154937505722046,0.0,0.0,0.5882353186607361,,,,(5,2.0,
20.0,dilate,densenet,kernel_size-(5_5)_iterations-3,0.2173912972211837,0.4411764705882353,5,5,single,11.0,14.0,-0.00033327619171449885,8,"{0: 25, 1: 22, 2: 47, 3: 11, 4: 1, 5: 49, 6: 9, 7: 40}",2.705279588699341,0.1504854410886764,0.4984952211380005,0.1147540956735611,0.0339805819094181,2.114896535873413,0.1617647111415863,0.5129140019416809,0.0,0.0,0.6323529481887817,,,,(5,3.0,
